,atom_num,x,y,z,LJ_CO2,LJ_frame,Elec_CO2,Elec_frame,Total_pot
0,1.0,103.838,61.048,44.877,2.996369841147892,7.418797560493552,-25.015909498113178,-224.68022067170583,-239.28096276817757
0,2.0,104.698,60.293,45.065,1.3688899038314666,4.095461362400149,62.69418173924968,459.8358446766898,527.9943776821711
0,3.0,105.558,59.538,45.253,2.2809150523756925,8.281410848736904,-34.1466091699712,-232.85162209255185,-256.43590536141045
0,4.0,28.79,8.236,4.884,0.6137690490685853,0.8967819776901936,-9.874955369820839,-129.70087272192694,-138.065277064989
0,5.0,29.74,8.733,4.443,0.2691260973587722,0.33983765142102546,18.624914370387565,263.4483461408788,282.68222426004615
0,6.0,30.691,9.231,4.003,1.0961989901719082,0.6935882375934619,-8.1626865575705,-133.31000935892564,-139.68290868873078
0,7.0,60.041,38.69,3.992,0.07227842723985439,5.374919275703206,-19.787794294521955,-84.41277020547699,-98.75336679705589
0,8.0,59.01,38.825,3.477,0.038583863167718446,2.9858578766470205,38.488069774144186,228.18768029644878,269.7001918104077
0,9.0,57.98,38.959,2.962,0.09871198797145352,5.355218715558174,-18.782924088957245,-126.48739896964973,-139.81639235507734
0,10.0,22.66,23.499,19.568,1.3875934280168987,10.612479741570898,-21.49203643690577,-166.18487281100275,-175.67683607832072
0,11.0,23.412,24.359,19.366,1.1566117569308192,5.055716429306708,37.338835380426836,325.45771959259775,369.0088831592621
0,12.0,24.165,25.218,19.164,-0.8031295937843311,4.845419039674994,-14.891779718051556,-155.2634704160825,-166.1129606882434
0,13.0,65.315,30.23,45.253,1.615634883509506,4.644633491453656,-35.129513594370664,-44.244683539607216,-73.11392875901473
0,14.0,64.711,30.865,46.013,0.6752127958632981,3.1941274313392753,71.28382383047274,89.22137556475121,164.37453962242654
0,15.0,64.107,31.5,46.773,0.8656422384402017,6.548457194248768,-37.04084418429688,-43.920827216437814,-73.54757196804573
0,16.0,90.038,43.021,11.828,0.046750416028473386,-10.090249981331105,-33.910065639283935,48.23684359347615,4.283278388889585
0,17.0,89.505,43.813,11.169,0.026616071195178306,1.4138056918329613,66.04448874575577,103.35652680393409,170.841437312718
0,18.0,88.973,44.605,10.509,0.08524194154225512,1.4883104162783871,-32.09194033801912,-95.7228688680343,-126.24125684823278
0,19.0,40.313,37.539,36.894,0.03213980150475773,3.6436402320602346,-34.76257939976398,-91.83417065409127,-122.92097002029026
0,20.0,39.176,37.755,36.811,0.021537259958775548,2.4978519498201375,68.96382025146261,151.00578040955915,222.48898987080065
0,21.0,38.04,37.972,36.727,0.07367542477228778,0.9451829994531142,-34.23058013791657,-35.33226115482602,-68.54398286851719
0,22.0,65.287,13.731,10.081,0.16661240188790935,12.777287872317755,-26.30813526627778,29.933503766017935,16.56926877394582
0,23.0,65.012,13.016,9.21,0.14992227308304173,5.926932354229578,50.77715599929508,-59.608258282170254,-2.7542476555625512
0,24.0,64.737,12.3,8.34,0.8815155824789189,8.632852959452066,-23.519517040217764,33.0068353203111,19.00168682202432
0,25.0,70.343,19.662,30.925,0.1856455218393883,2.6940464199045127,-37.08842693524144,9.684972252359994,-24.52376274113755
0,26.0,69.842,19.381,29.917,0.1600710641750881,2.0253148268073424,73.5830201007103,70.2358751871735,146.00428117886622
0,27.0,69.34,19.1,28.91,0.7004693738117928,2.5180304024902385,-36.18836388591262,-53.06268118494759,-86.03254529455819
