,atom_num,x,y,z,LJ_CO2,LJ_frame,Elec_CO2,Elec_frame,Total_pot
0,1.0,70.818,44.763,48.103,0.4185664421127742,4.320679950108954,-11.643274790848858,-30.09390746858096,-36.997935867208085
0,2.0,71.518,43.919,47.725,0.2795730122479569,0.975924330241604,23.828576879015813,83.27494898040774,108.35902320191312
0,3.0,72.219,43.075,47.346,1.3486238922254945,1.8808268099537688,-10.762025833546218,-48.95195463942108,-56.484529770788036
0,4.0,48.296,40.992,1.541,1.1087832829887394,7.752022341571712,11.907821733906408,-94.36544910649783,-73.59682174803098
0,5.0,48.625,40.146,0.818,0.4415187106211181,4.177443697314059,-19.72166116940676,191.92000912196497,176.8173103604934
0,6.0,48.953,39.301,0.094,0.5228309474718094,9.986341504052579,9.41771264981359,-100.30533136672742,-80.37844626538944
0,7.0,71.976,51.352,1.565,0.5687277594651204,0.45974804316991946,-33.99934975816239,-137.59099513910155,-170.5618690946289
0,8.0,73.058,51.118,1.216,0.5005745560042073,0.3967978754565884,64.93320618723101,285.002712162517,350.8332907812088
0,9.0,74.139,50.885,0.866,1.4744725962349914,1.708061810848911,-30.821772620799507,-148.31420820069678,-175.95344641441238
0,10.0,30.688,42.333,6.658,0.5579389475275879,3.8217184740602383,26.03351057880248,-86.90909144645966,-56.49592344606935
0,11.0,31.249,41.465,6.132,0.13738890897034833,2.5891676823478593,-53.05675311733468,157.07287828860782,106.74268176259136
0,12.0,31.81,40.596,5.606,0.19578545470550576,-1.1004075739985686,26.37389784677833,-48.7008775125673,-23.231601785082034
0,13.0,30.235,17.552,11.35,3.0573635835776103,7.710319242891844,31.014165532741956,-99.89217043093507,-58.11032207172366
0,14.0,29.747,17.294,10.329,1.2684483861928633,4.652923956460557,-55.01517976162662,206.13313911532833,157.03933169635513
0,15.0,29.26,17.036,9.309,0.9089702507529872,5.665248351605406,28.85129817993218,-98.33996280941996,-62.91444602712939
0,16.0,71.584,32.161,42.858,0.8466400227567246,1.089717305009369,-7.873586711979581,-54.8507877354843,-60.78801711969779
0,17.0,72.584,32.747,42.858,0.6113995814742833,0.5654661884325454,24.6788724613536,101.49410121776457,127.349839449025
0,18.0,73.585,33.333,42.857,0.7968468831508825,1.3483446864670636,-16.940162351173157,-46.41080017075047,-61.205770952305684
0,19.0,49.422,15.988,31.824,1.0491143507420448,3.7178651687992916,7.577080460605023,-25.037346376234783,-12.693286396088425
0,20.0,48.34,16.381,31.681,0.19699285793280594,1.4462001462191552,-18.970642336956132,62.90177853573287,45.5743292029287
0,21.0,47.257,16.773,31.539,0.19918850004829758,2.2820807209883713,10.490045367759683,-35.450502404236126,-22.479187815439772
0,22.0,85.905,46.384,14.146,0.274825036493707,4.858458180606663,-48.12930143268864,-33.451663614119994,-76.44768182970827
0,23.0,85.493,47.363,14.611,0.1818503881423205,1.109884009522554,93.3558284616311,79.58995873231582,174.2375215916118
0,24.0,85.081,48.343,15.076,0.9756421610199824,1.4159478059642738,-44.844268337927616,-45.99969567927278,-88.45237405021615
0,25.0,62.454,13.725,3.71,0.2546416154124255,2.512830157096864,-25.816197249135023,35.14539505880646,12.096669582180724
0,26.0,62.265,12.953,2.865,0.10108319819866327,1.8573846854886145,51.49795269346028,3.4924992079213393,56.948919785068895
0,27.0,62.076,12.181,2.02,0.24747778177589813,1.8952390045754426,-25.30957572280383,-16.51414560336633,-39.68100453981882
0,28.0,79.885,41.656,50.289,0.5190199724272094,1.3966450159759503,-17.524730730064107,-45.08346931123984,-60.69253505290079
0,29.0,80.964,41.275,50.098,0.30321064352491817,1.0963203627074882,37.12567356134845,78.376500455103,116.90170502268386
0,30.0,82.042,40.893,49.906,0.8004957630436245,4.460593219529203,-19.513835715417393,-31.021118319534903,-45.27386505237947
0,31.0,87.978,44.48,47.05,0.9334604243350705,5.403506309873499,-36.96966943078403,30.369046060592048,-0.2636566359834127
0,32.0,88.462,44.413,45.998,0.23426165514017838,1.9044619487478882,74.81418163154652,-13.151356662447926,63.80154857298666
0,33.0,88.947,44.347,44.946,0.22689506408377114,2.47195734820419,-38.80253536807397,-4.051053497146814,-40.15473645293282
0,34.0,72.918,64.082,47.329,0.23374468113153324,2.4550337681058845,-15.409990844477887,-65.13572497504207,-77.85693737028254
0,35.0,73.785,64.618,46.775,0.10404359188120088,2.2985817030690607,31.753249151811,100.15533840166925,134.3112128484305
0,36.0,74.652,65.154,46.221,0.24096603517277435,1.5801349217569713,-16.542813261292878,-13.949050992330426,-28.670763296693558
0,37.0,71.079,66.596,41.747,0.7395103177709647,1.0402308130460072,-17.88323816433481,-85.03388899003934,-101.13738602355718
0,38.0,70.849,65.741,40.998,0.39301255375882027,0.7088134355583887,38.41614158940306,184.62343423226247,224.14140181098273
0,39.0,70.62,64.885,40.249,1.4495488286668305,5.278138032012243,-20.079348924847036,-97.22871883741246,-110.58038090158043
0,40.0,66.705,67.865,41.268,0.5867161993738211,0.6457165480457132,-27.308124926974454,-81.04937502652585,-107.12506720608077
0,41.0,67.153,68.62,40.51,0.2944405088831152,0.3151883253871715,58.12145459231716,166.3701318901033,225.10121531669074
0,42.0,67.601,69.375,39.752,0.5668930829878834,0.6302306905912167,-30.697651042020585,-85.11542967444747,-114.61595694288896
0,43.0,45.292,38.375,8.207,0.12073096634750749,1.5048802513840422,12.393702963960257,-78.19895373167179,-64.17963954997998
0,44.0,44.711,39.298,7.811,0.05597944297002139,1.4665984104707868,-26.94584644436524,161.81800624321556,136.39473765229113
